Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2851,B24,PHX FD Haz,D,Phoenix Fire Hazmat,Fire-Tac,Phoenix Fire
3011,BC3,CHAN PD Disp,D,Chandler Police Dispatch,Law Dispatch,Chandler
3021,BCD,CHAN PD Tac1,D,Chandler Police Tactical 1,Law Tac,Chandler
3022,BCE,CHAN PD Tac2,D,Chandler Police Tactical 2,Law Tac,Chandler
3031,BD7,CHAN PD Det,D,Chandler Police Detectives,Law Talk,Chandler
3811,EE3,CHAN FD Disp,D,Chandler Fire Dispatch,Fire Dispatch,Chandler
3812,EE4,CHAN FD Tac1,D,Chandler Fire Tactical 1,Fire-Tac,Chandler
3813,EE5,CHAN FD Tac2,D,Chandler Fire Tactical 2,Fire-Tac,Chandler
4011,FAB,TEMP PD Disp,D,Tempe Police Dispatch,Law Dispatch,Tempe
4021,FB5,TEMP PD Tac1,D,Tempe Police Tactical 1,Law Tac,Tempe
4022,FB6,TEMP PD Tac2,D,Tempe Police Tactical 2,Law Tac,Tempe
4811,12CB,TEMP FD Disp,D,Tempe Fire Dispatch,Fire Dispatch,Tempe
4812,12CC,TEMP FD Tac1,D,Tempe Fire Tactical 1,Fire-Tac,Tempe
5011,138B,SCOTT PD Disp,D,Scottsdale Police Dispatch,Law Dispatch,Scottsdale
5021,1395,SCOTT PD Tac1,D,Scottsdale Police Tactical 1,Law Tac,Scottsdale
5022,1396,SCOTT PD Tac2,D,Scottsdale Police Tactical 2,Law Tac,Scottsdale
5811,16B3,SCOTT FD Disp,D,Scottsdale Fire Dispatch,Fire Dispatch,Scottsdale
5812,16B4,SCOTT FD Tac1,D,Scottsdale Fire Tactical 1,Fire-Tac,Scottsdale
6011,177B,GLEN PD Disp,D,Glendale Police Dispatch,Law Dispatch,Glendale
6021,1785,GLEN PD Tac1,D,Glendale Police Tactical 1,Law Tac,Glendale
6811,1A9B,GLEN FD Disp,D,Glendale Fire Dispatch,Fire Dispatch,Glendale
6812,1A9C,GLEN FD Tac1,D,Glendale Fire Tactical 1,Fire-Tac,Glendale
7011,1B63,PEOR PD Disp,D,Peoria Police Dispatch,Law Dispatch,Peoria
7021,1B6D,PEOR PD Tac1,D,Peoria Police Tactical 1,Law Tac,Peoria
7811,1E83,PEOR FD Disp,D,Peoria Fire Dispatch,Fire Dispatch,Peoria
8001,1F41,GILA FD,D,Gila River Fire Dispatch,Fire Dispatch,Gila River
8011,1F4B,SURP PD Disp,D,Surprise Police Dispatch,Law Dispatch,Surprise
8021,1F55,SURP PD Tac1,D,Surprise Police Tactical 1,Law Tac,Surprise
8811,226B,SURP FD Disp,D,Surprise Fire Dispatch,Fire Dispatch,Surprise
9011,2333,AVON PD Disp,D,Avondale Police Dispatch,Law Dispatch,Avondale
9021,233D,AVON PD Tac1,D,Avondale Police Tactical 1,Law Tac,Avondale
9811,2653,AVON FD Disp,D,Avondale Fire Dispatch,Fire Dispatch,Avondale
10011,271B,GOOD PD Disp,D,Goodyear Police Dispatch,Law Dispatch,Goodyear
10021,2725,GOOD PD Tac1,D,Goodyear Police Tactical 1,Law Tac,Goodyear
10811,2A3B,GOOD FD Disp,D,Goodyear Fire Dispatch,Fire Dispatch,Goodyear
11011,2B03,BUCK PD Disp,D,Buckeye Police Dispatch,Law Dispatch,Buckeye
11811,2E23,BUCK FD Disp,D,Buckeye Fire Dispatch,Fire Dispatch,Buckeye
12011,2EEB,TOLL PD Disp,D,Tolleson Police Dispatch,Law Dispatch,Tolleson
12811,320B,TOLL FD Disp,D,Tolleson Fire Dispatch,Fire Dispatch,Tolleson
13011,32D3,PV PD Disp,D,Paradise Valley Police Dispatch,Law Dispatch,Paradise Valley
14011,36BB,ELMIR PD Disp,D,El Mirage Police Dispatch,Law Dispatch,El Mirage
15011,3AA3,WICK PD Disp,D,Wickenburg Police Dispatch,Law Dispatch,Wickenburg
15811,3DC3,WICK FD Disp,D,Wickenburg Fire Dispatch,Fire Dispatch,Wickenburg
50001,C351,Interop 1,D,Interoperability Channel 1,Interop,Interop
50002,C352,Interop 2,D,Interoperability Channel 2,Interop,Interop
50003,C353,Interop 3,D,Interoperability Channel 3,Interop,Interop
50004,C354,Interop 4,D,Interoperability Channel 4,Interop,Interop
