Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
877,36D,36d,SMC SO 13,D,Channel 13,
878,36E,36e,SMC SO 14,D,Channel 14,
879,36F,36f,SMC SO 15,D,Channel 15,
880,370,370,SMC SO 16,D,Channel 16,
881,371,371,County 1,D,County 1,
882,372,372,County 2,D,County 2,
883,373,373,County 3,D,County 3,
884,374,374,County 4,D,County 4 (Hospital Security Delta One),
885,375,375,County 5,D,County 5,
886,376,376,County 6,D,County 6 (Sheriff West Secondary),
897,381,381,SMC OES 1,D,Office of Emergency Services,
914,392,392,SMC SO Civil,D,Civil Enforcement Bureau Dispatch,
929,3A1,3a1,SMC SO Jail 1,D,Maguire Correctional Facility 1,
930,3A2,3a2,SMC SO Jail 2,D,Maguire Correctional Facility 2,
931,3A3,3a3,SMC SO Jail 3,D,Maguire Correctional Facility ERT,
932,3A4,3a4,SMC SO Jail 4,D,Jail 4,
933,3A5,3a5,SMC SO Jail 5,D,Jail 5,
934,3A6,3a6,SMC SO Jail 6,D,Jail 6,
935,3A7,3a7,SMC SO Jail 7,D,Jail 7,
936,3A8,3a8,SMC SO Jail 8,D,Jail 8 (Used for Traffic Control),
937,3A9,3a9,SMC SO Jail 9,D,Maguire Correctional Facility 9,
938,3AA,3aa,SMC SO Jail 10,D,Womens Correction Center,
939,3AB,3ab,SMC SO Jail 11,D,Jail 11,
940,3AC,3ac,SMC SO Jail 12,D,Court Transportation 1,
941,3AD,3ad,SMC SO Jail 13,D,Court Transportation 2,
942,3AE,3ae,SMC SO Jail 14,D,Jail 14,
943,3AF,3af,SMC SO Jail 15,D,Jail 15,
944,3B0,3b0,SMC SO Jail 16,D,Jail 16,
961,3C1,3c1,SMC COMM 1,D,County Common 1 (Election Dept),
962,3C2,3c2,SMC COMM 2,D,County Common 2,
963,3C3,3c3,SMC COMM 3,D,County Common 3,
964,3C4,3c4,SMC COMM 4,D,County Common 4,
965,3C5,3c5,SMC COMM 5,D,County Common 5,
977,3D1,3d1,La Honda VFD1,D,Fire 1,
978,3D2,3d2,La Honda VFD2,D,Fire 2,
4049,FD1,fd1,Daly City PD,D,Police (Testing Only),
35601,8B11,8b11,SMC Interop 1,D,Interop 1,
35602,8B12,8b12,SMC Interop 2,D,Interop 2,
35603,8B13,8b13,SMC Interop 3,D,Interop 3,
35604,8B14,8b14,SMC Interop 4,D,Interop 4,
35605,8B15,8b15,SMC Interop 5,D,Interop 5,
35606,8B16,8b16,SMC Calling,D,Calling,
35619,8B23,8b23,San Bruno PD,D,Police (Testing Only),
